,,Egypt,Gulf of Suez Basin,Teen (BP) 1,,,North Shadwan,,,
,,Egypt,Northern Egypt Basin,Wadi Natrun 56 1,Ia053-01,T 56-1,Petroswede Natrun,,,Mesozoic
,,Egypt,Gindi Basin,Wadi Natrun 57 1,Ia054-01,T 57-1,Petroswede Natrun,,,
,,Egypt,Northern Egypt Basin,Wadi Natrun West 1,Id047-01,,West Natrun,,,Lower Jurassic
,,Libya,Nefusa Uplift (Ghadames Basin),A-001-034,034 A 001,A1-34,,,,
,,Libya,Cyrenaica Platform,A-001-035,035 A 001,A1-35,,,,
,,Libya,Jabal Akhdar Uplift,A-001-036,036 A 001,A1-36,,,,
,,Libya,Cyrenaica Platform,A-001-037,037 A 001,A1-37,,,,
,,Libya,Tumayn Sub-basin (Sirte Basin),A-001-063,063 A 001,A1-63,,,,
,,Libya,Dur Al Qussan Sub-basin (Murzuq Basin),A-001-064,064 A 001,A1-64,,,,
,,Libya,Sarir Trough (Sirte Basin),A-001-065,065 A 001,A1-65,,,,
,,Libya,Sarir Trough (Sirte Basin),A-001-080,080 A 001,A1-80,,,,
,,Libya,Dakhla Sub-basin (Upper Egypt Basin),A-001-081,081 A 001,A1-81,,,,
,,Libya,Sarir Trough (Sirte Basin),A-002-065,065 A 002,A2-65,,,,
,,Libya,Sarir Trough (Sirte Basin),A-002-080,080 A 002,A2-80,,,,
,,Libya,Sarir Trough (Sirte Basin),A-003-065,065 A 003,A3-65,,,,
,,Libya,Sarir Trough (Sirte Basin),AA-001-065,065 AA 001,AA1-65,,,,
,,Libya,Sarir Trough (Sirte Basin),AA-001-080,080 AA 001,AA1-80,,,,
,,Libya,Nefusa Uplift (Ghadames Basin),B-001-034,034 B 001,B1-34,,,,
,,Libya,Jabal Akhdar Uplift,B-001-036,036 B 001,B1-36,,,,
,,Libya,Sarir Trough (Sirte Basin),B-001-065,065 B 001,B1-65,,,,
,,Libya,Sarir Trough (Sirte Basin),B-001-080,080 B 001,B1-80,,,,
,,Libya,Dakhla Sub-basin (Upper Egypt Basin),B-001-081,081 B 001,B1-81,,,,
,,Libya,Nefusa Uplift (Ghadames Basin),B-002-034,034 B 002,B2-34,,,,
,,Libya,Hamaimat Trough (Sirte Basin),BB-001-065,065 BB 001,BB1-65,,,,
,,Libya,Hamaimat Trough (Sirte Basin),BB-001-080,080 BB 001,BB1-80,,,,
,,Libya,Ghadames Basin,C-001-034,034 C 001,C1-34,,034-C-001,,
,,Libya,Sarir Trough (Sirte Basin),C-001-065,065 C 001,C1-65,,Sarir (065-C),Basement,Precambrian
,,Libya,Sarir Trough (Sirte Basin),C-001-080,080 C 001,C1-80,,,,
,,Libya,Dakhla Sub-basin (Upper Egypt Basin),C-001-081,081 C 001,C1-81,,,,
,,Libya,Sarir Trough (Sirte Basin),C-002-065,065 C 002,C2-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-003-065,065 C 003,C3-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-004-065,065 C 004,C4-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-005-065,065 C 005,C5-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-006-065,065 C 006,C6-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-007-065,065 C 007,C7-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-008-065,065 C 008,C8-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-009-065,065 C 009,C9-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-010-065,065 C 010,C10-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-011-065,065 C 011,C11-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-012-065,065 C 012,C12-65,,Sarir North (065-C),Basement,Precambrian
,,Libya,Sarir Trough (Sirte Basin),C-014-065,065 C 014,C14-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-016-065,065 C 016,C16-65,,Sarir (065-C),,
,,Libya,Sarir Trough (Sirte Basin),C-018-065,065 C 018,C18-65,,Sarir (065-C),,
